Text,Answer,AI Prediction
"This hotel is ok but is not the best for the money. First of all the parking prices are exorbitant. I know parking is at a premium for this location but the price is much too high. Also, the service at this hotel was poor. I felt like room service took too long and considering the price the service was poor in general, and the staff at The Palmer House seemed more interested in helping the richer or more known customers more than us. In addition I feel that there were too many fees including a fee for internet. Also the rooms were very clean and beds very nice but there was some noise and you could hear the people walking above you. I would say it was an average experience at this hotel and considering the price maybe think twice about The Palmer House.",deceptive,FALSE
"This hotel is dizzying with all of the bold colors and patterns everywhere. It smells because pets are allowed. This hotel is also extremely dirty because of the pets allowed. There was mold in our room and bathroom, pet hair everywhere! Kids love pools. How can they claim to be kid friendly without one? My kid was bored. The food was basically the same every day, no variation in the menu. Pictures on their website of the rooms must be reserved for their ""travel club"" because our room didn't even remotely resemble the pictures. They did the old bait and switch. We reserved a ""family room"". When we opened the door of our room, we realized that it wasn't what the website pictured or had what the website described. We kept our mouths shut for fear of retaliation by the hotel workers. Definitely do not recommend this hotel!!!",deceptive,FALSE
"Stayed here for 5 nights while visiting Chicago for the first time. The location is great, the hotel has been recently renovated and our room was very spacious with two bathrooms. The lobby is a great place to chill and have a drink. Didn't eat in the restaurant but there are a few good ones nearby and we were beside The Art Institute, Cultural Centre & Macys. Staff were friendly. Would recommend it as a base to tour the city.",real,TRUE
"I loved this hotel - reasonable for downtown Chicago, an older hotel with a great reno (a bit over-the-top design, but still very lovely and charming), clean rooms, and very friendly staff. They're also amazingly pet-friendly - they welcomed our 130lb Mastiff cross with a gift bag (treats and directions to an off-leash area), and even had a cute blackboard with visiting dog's names on it.",real,TRUE
"If you're in Chicago and want to stay in The Loop, The Allegro Hotel is perfect for you. It's centrally located, stylish rooms and attentive staff. I stayed at the hotel for 3 nights and was very pleased with everything. The bed was very comfy and had plenty of fluffy pillows, large flat screen tv, radio with ipod docking station and bathroom was hip and clean. Everyone that I came in contact with was very friendly and helpful. My last day there, I ordered room service and not only was my meal perfect and delivered on time, the kitchen called to see if everything was alright. I have never had that kind of follow up service. I've stayed at the Palomar in DC, another Kimpton hotel and received exceptional service there too. I will definitely see if Kimpton has a hotel at my next destination.",real,TRUE
"This is best hotel bargin in Chicago if you are not overly unhappy with a small room. Great hotel just redone by Kimpton. This is a great hotel chain that really provides a the sense of escape and fun to all of their hotels. This is a location just off of LaSalle and next to the Cadillac theater. It has a 4 star resturant which we enjoyed in a relaxed atmosphere an amazing Italian meal. The wine list is one of the best in a city of great restaurants. The Kimptons have a social hour 5 to 6 with wine at all of their hotels. You sit in a designer, kind of London circa 1968 couch with a fire place nearby and have that lost art form of relaxation with you fellow guests. They are super animal friendly and provide complete services to your dog if you wish to bring it. The exercise room is great and there is a spa here as well. There are two other Kimptons here but for the money the Allegro is the best value and location. Always consider Kimptons as they never disappoint where ever we have used them.",real,FALSE
"I am a fan of Kimpton Hotels, however I have never experienced top service as I did at the Hotel Allegro. Even before my visit, concierge Mark Kraemer advised us on things to see, and booked tickets in advance to Second City. We were welcomed warmly on arrival, and the bellman checked up on us as we came and went from the hotel. All the staff have a personal interest in making your stay a great experience. The hotel is next to City Hall, where I had some business. We had a large quiet room, and used room service-the meal came quickly, and included a a bonus fruit cup. Enjoyed the pasta night (20 dollars for a three course meal) at the 312 restaurant-the starter and the dessert were wonderful, the main pasta a bit too salty. And that is the only complaint I can make-from start to finish, if you want attentive service, this is the place to be. Thank you, Hotel Allegro, for a great stay. I can't wait to return.",real,TRUE
"The InterContinental hotel is truly a hidden treasure. Nestled deep in sky scraping steel epicenter of downtown Chicago, the hotel is a taste of both modern day luxury and old time charm. From the tiled indoor pool surrounded by high Romanesque arching ceilings to the rich mahogany furniture and lace curtains in the suites, the InterContinental was built to satisfy the taste of even the most hardened traveler. Book well in advance as it is one of the most sought after retreats in all of Chicago.",deceptive,FALSE
"Amalfi Hotel Chicago has several factors that make it one of the best hotels in the chicago area and an experience you will not forget in a long time. Its proximity to some of the best spots in Chicago makes it a visitor's delight. It is close to the Magnificient Mile which is the shopping area, it is also close to the Loop, Merchandise Mart and Michigan Avenue making it a fantastic location with great layout and it has lots of space. Each guest room includes a flat screen HD TV. The beautiful reception has free snacks and drinks even as the hotel provides free breakfast. The 24-hour fitness centre is always open for business.The hotel has a no-smoking policy. It also has free internet facilities, room service, Air conditioning, laundry/drycleaning, multilingual staff to make communication easy, spa services, heating, conference facilities, satelite tv, brailed elevators and pets are allowed. The Concierge desk offer the best wine available and I must add that the wine is great. The hotel prides itself in making you feel like royalty. The staff are very pleasant and the door men are always willing to lend a hand. The hotel places priority on cleanliness as the rooms are always clean. The hotel makes it possible for you to relax, go shopping in the best stores which are close-by, eat in some of the best restaurants and party in clubs most of which they have entered into some form patnership. They offer great deals for every type of customer. I would definitely recommend this place.",deceptive,FALSE
"My husband and I snagged a great deal on a weekend trip to Chicago, and decided (at the recommendation of friends) to stay at the Palmer House Hilton. The only word we can use to describe it is ""amazing""! Walking into the lobby feels like stepping back in time, it is simply breath-taking. Be sure to check out the ceiling, I have never seen one so beautiful outside of Europe. We checked-in without any issues and were assigned a very lovely room with the most comfortable bed I have encountered in any hotel. Everything is in walking distance of the Palmer House, you couldn't hope to find a better location for exploring downtown Chicago. Everything was perfect with our stay here, I would not stay anywhere else in Chicago from now on.",deceptive,TRUE
"The Palmer House Hilton in Chicago is by far the best experience I have ever had away from home. From the moment you walk into the elegantly appointed lobby, you will never want to leave. The multiple ballrooms, board rooms and private dining rooms make this the perfect site for weddings or business events. If you're looking for leisure activities, there are two bars, the Lockwood Wine Cellar, and an indoor pool. The staff is professional, friendly and helpful. Room service is excellent, and the hotel is conveniently placed to several major attractions in the city. ",deceptive,TRUE
